sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,is_recid,jailtime
Male,69,Other,0,0,0,0,F,0,1
Male,34,African-American,0,0,0,0,F,1,10
Male,24,African-American,0,0,1,4,F,1,1
Male,44,Other,0,0,0,0,M,0,1
Male,41,Caucasian,0,0,0,14,F,1,6
Male,43,Other,0,0,0,3,F,0,1
Female,39,Caucasian,0,0,0,0,M,0,3
Male,20,Caucasian,0,0,1,0,F,0,33
Female,26,Caucasian,0,0,0,0,F,0,1
Male,21,Caucasian,0,0,0,1,F,1,1
Male,27,Caucasian,0,0,0,0,F,0,1
Male,23,African-American,0,0,0,3,M,1,4
Female,37,Caucasian,0,0,0,0,M,0,1
Male,22,Caucasian,0,0,0,0,M,0,0
Male,41,African-American,0,0,0,0,F,0,1
Female,47,Caucasian,0,0,0,1,F,1,14
Male,31,African-American,0,0,0,7,F,1,3
Male,37,Hispanic,0,0,0,0,M,0,0
Male,25,African-American,0,0,0,3,F,0,1
Male,31,Caucasian,0,0,0,6,F,1,1
Male,31,Caucasian,0,0,0,5,F,1,1
Male,64,African-American,0,0,0,13,F,1,1
Male,21,African-American,0,0,0,1,F,1,3
Male,27,Caucasian,0,0,0,0,M,1,0
Female,21,Caucasian,0,0,0,0,F,0,1
Male,24,African-American,0,0,0,2,F,1,1
Male,24,Hispanic,0,0,0,1,F,1,1
Male,42,Caucasian,0,0,0,1,F,0,105
Male,43,Caucasian,0,0,0,1,M,0,1
Male,32,Other,0,0,0,0,M,0,2
Female,54,African-American,0,0,0,0,F,0,111
Male,44,African-American,0,0,0,8,M,0,0
Male,27,African-American,0,0,0,8,F,1,17
Female,36,Caucasian,0,0,0,3,F,0,1
Male,26,African-American,0,0,1,5,F,1,1
Male,33,African-American,0,0,0,0,F,1,38
Male,30,Caucasian,0,0,0,9,F,1,44
Male,32,African-American,0,0,0,4,F,1,1
Male,63,African-American,0,0,0,0,M,0,2
Male,27,Hispanic,0,0,0,2,F,0,0
Male,55,Caucasian,0,0,0,0,F,0,2
Male,32,African-American,0,0,0,15,F,0,92
Male,38,African-American,0,0,2,5,F,0,166
Male,53,Caucasian,0,0,0,19,F,0,6
Male,49,Other,0,0,0,7,F,1,4
Male,26,Caucasian,0,0,2,6,M,0,12
Female,33,Caucasian,0,0,0,4,M,1,11
Male,24,Caucasian,0,0,0,1,M,1,1
Male,34,African-American,2,1,3,21,F,1,33
Male,29,Caucasian,0,0,0,0,M,0,0
Female,21,African-American,0,0,0,2,F,0,80
Male,51,African-American,0,0,0,2,M,0,1
Male,29,Caucasian,0,0,0,2,M,1,1
Male,25,African-American,0,0,0,0,F,0,272
Female,51,African-American,0,0,0,7,F,0,2
Male,28,Caucasian,0,0,0,8,F,0,1
Male,36,African-American,0,0,0,22,M,0,197
Male,29,African-American,0,0,0,0,F,1,0
Male,29,Other,0,0,0,0,M,0,2
Male,25,Caucasian,0,0,0,9,M,1,7
Male,35,African-American,1,0,4,13,F,1,1
Male,49,Caucasian,0,0,0,0,M,0,0
Male,34,African-American,0,0,0,4,M,1,51
Male,29,African-American,0,0,0,0,F,0,0
Male,29,Caucasian,0,0,0,1,F,1,0
Female,28,Other,0,0,0,0,F,0,1
Male,51,Caucasian,0,0,0,0,F,0,25
Male,25,Caucasian,0,0,0,0,F,0,0
Male,48,Caucasian,0,0,0,20,F,1,11
Male,33,Caucasian,0,0,0,1,F,0,1
Female,63,Hispanic,0,0,0,1,F,0,8
Male,30,African-American,0,0,1,3,F,0,2
Male,31,African-American,0,0,1,15,F,1,136
Male,24,African-American,0,0,0,2,F,1,2
Male,27,African-American,0,0,0,0,F,0,1
Male,32,Caucasian,0,0,0,3,F,0,1
Male,30,Hispanic,0,0,0,0,M,0,23
Male,49,African-American,0,0,0,4,M,0,1
Male,53,Caucasian,0,0,0,8,F,0,13
Female,31,Hispanic,0,0,0,0,M,0,0
Male,35,African-American,0,0,0,5,F,0,1
Male,63,African-American,0,0,0,10,M,1,36
Male,33,African-American,0,0,0,2,F,0,1
Male,27,African-American,1,1,2,15,F,1,1
Male,38,Caucasian,0,0,0,4,M,1,2
Male,46,Caucasian,3,1,0,9,F,0,2
Male,22,African-American,0,0,1,1,F,1,1
Female,34,Caucasian,0,0,0,0,M,0,0
Male,22,African-American,0,1,2,2,F,1,124
Male,29,African-American,0,0,0,4,F,1,19
Male,62,Hispanic,0,0,0,0,M,0,0
Male,27,African-American,0,1,0,6,F,1,30
Male,33,Other,0,0,0,0,M,0,1
Female,56,African-American,0,0,0,0,M,0,3
Male,45,Hispanic,0,0,0,6,F,1,242
Male,22,Hispanic,0,0,0,1,F,0,1
Female,31,Caucasian,0,0,0,2,F,0,1
Male,34,African-American,0,0,0,0,F,0,419
Male,39,African-American,0,0,0,1,M,0,5
Male,24,African-American,0,1,0,4,M,0,1
Male,29,African-American,0,0,0,5,F,1,1
Male,27,Caucasian,0,0,1,1,F,1,14
Female,24,Hispanic,0,0,0,1,M,0,0
Male,40,African-American,0,0,0,2,F,0,3
Male,51,African-American,0,0,0,1,F,0,56
Male,22,African-American,0,0,0,1,M,1,17
Male,22,Caucasian,0,0,0,0,F,0,58
Female,26,African-American,0,0,0,1,F,1,2
Male,27,Caucasian,0,0,0,1,F,1,19
Male,32,Caucasian,0,0,0,3,M,0,70
Male,32,African-American,0,0,0,0,F,0,1
Male,41,African-American,0,0,0,1,M,0,2
Male,50,Caucasian,0,0,0,0,M,0,1
Male,30,African-American,0,0,0,8,M,1,1
Male,66,African-American,0,0,0,0,M,0,1
Male,52,African-American,0,0,0,3,F,0,9
Male,22,Caucasian,0,0,0,3,F,0,0
Male,50,Other,0,0,0,0,F,1,1
Male,25,African-American,1,6,1,14,F,1,7
Male,20,Other,0,0,0,0,F,1,1
Male,22,African-American,1,0,0,2,F,1,30
Male,23,African-American,0,0,1,2,M,1,1
Male,54,African-American,0,0,0,6,F,0,106
Male,40,Caucasian,0,0,0,4,F,0,1
Male,25,African-American,0,0,0,10,F,0,181
Female,35,African-American,0,0,0,1,M,0,1
Male,36,African-American,0,0,0,9,F,1,4
Male,26,Caucasian,0,0,0,7,F,1,0
Male,21,Other,0,0,0,1,F,1,4
Male,30,Caucasian,0,0,1,6,F,0,10
Male,25,Caucasian,0,0,0,9,F,1,1
Male,34,African-American,0,0,0,3,M,0,16
Female,20,Caucasian,0,0,0,0,F,0,1
Male,39,Caucasian,0,0,0,2,F,1,0
Male,66,Caucasian,0,0,0,3,F,0,30
Female,54,Caucasian,0,0,0,0,M,0,0
Female,44,Hispanic,0,0,0,0,M,0,1
Male,19,African-American,0,0,0,1,M,1,9
Male,24,African-American,0,0,0,1,F,0,137
Male,30,African-American,0,0,0,1,F,0,1
Female,39,Caucasian,0,0,0,0,F,1,2
Female,32,African-American,0,0,0,8,M,0,1
Male,24,Caucasian,0,1,2,8,F,1,12
Male,30,Caucasian,0,0,0,0,F,0,6
Male,31,Caucasian,0,0,0,0,M,0,39
Female,39,Caucasian,0,0,0,1,F,0,107
Male,59,African-American,0,0,0,14,F,1,110
Male,35,Caucasian,0,0,0,7,F,0,0
Female,24,Other,0,0,0,0,F,0,17
Male,43,Caucasian,0,0,0,1,F,0,1
Male,21,African-American,1,0,1,2,F,0,2
Female,21,African-American,0,0,0,0,M,0,4
Male,21,African-American,0,0,0,3,F,1,6
Male,27,African-American,0,0,0,0,F,0,1
Male,20,African-American,0,0,0,0,F,0,0
Male,38,Caucasian,0,0,0,5,M,1,3
Male,27,African-American,0,0,0,3,F,0,207
Male,34,Caucasian,0,0,0,0,F,0,15
Male,30,African-American,0,0,0,3,F,0,0
Male,33,African-American,0,0,0,5,F,1,0
Male,37,African-American,0,0,0,3,F,0,1
Male,42,Caucasian,0,0,0,1,F,1,1
Male,41,African-American,0,1,0,10,F,1,176
Male,22,African-American,0,0,0,0,F,1,1
Male,33,African-American,0,12,2,28,F,1,2
Male,44,Caucasian,0,0,0,0,M,0,1
Male,31,African-American,0,0,0,1,M,0,1
Male,26,African-American,0,0,0,9,F,0,1
Female,30,Other,0,0,0,1,F,0,1
Male,31,Caucasian,0,0,0,13,F,1,471
Male,27,African-American,0,0,0,3,F,1,1
Female,31,Caucasian,0,0,0,1,F,0,1
Male,47,Hispanic,0,0,0,2,F,0,1
Male,56,African-American,0,0,0,8,F,0,80
Male,33,Asian,0,0,0,2,M,0,14
Male,52,Caucasian,0,0,0,3,M,0,1
Male,33,African-American,0,0,0,19,F,1,1
Male,61,Caucasian,0,0,0,0,F,0,15
Female,64,Caucasian,0,0,0,2,M,0,0
Male,22,Caucasian,0,0,0,4,F,1,14
Male,42,Caucasian,0,0,0,6,F,0,0
